蛋类,4
擦眼泪的纸,8
瓦楞纸,1
冷饮,8
冷饮棒,8
冷饮袋,8
车厘子,4
梨,4
离心纸,8
钢笔里的墨囊,8
纸制糖果礼盒,1
荔枝核,4
荔枝壳,4
荔枝干壳,4
栗子,4
板栗壳,4
可丽饼,4
麦丽素,4
日历,1
台历,1
便利贴,8
乐利包,1
利乐包,1
果粒,4
牛肉粒包装袋,8
沥水架,1
磁力片,8
魔力擦,8
巧克力,4
琉璃,1
联通卡,8
莲藕,4
莲蓬,4
莲雾,4
连裤袜,1
连衣裙,1
骨肉相连,4
洗脸巾,8
护脸霜瓶,1
塑料脸盆,1
项链,1
金属拉链,1
练习本,1
狗粮,4
粮食,4
猫粮,4
凉皮,4
凉席,8
空调两用风扇,1
少量泥土,8
晾衣架,1
塑料晾衣架,1
坏了的碗,1
破了的碗,1
坏了的玩具,1
布料,1
盘尼西林,2
鱼鳞,4
鱼鳞鱼肠,4
冰淇淋,4
零食,4
零食袋,8
零食罐,8
哑铃,1
马铃薯,4
马铃薯片,4
领带,1
红领巾,1
毛领子,1
溜溜球,8
榴莲干,4
榴莲核,8
榴莲壳,8
镇流器,1
电子镇流器,1
龙虾,4
大龙虾,4
龙虾壳,4
鸟笼,8
芦荟,4
芦稷,4
芦稷皮,8
甜卢蜀,4
炉渣,8
电磁炉,1
电暖炉,1
卤素灯,2
卤素灯泡,2
花露水瓶,1
沐浴露瓶,1
洗发露瓶,1
电路板,1
路由器,1
线路板,1
录像带,2
录音机,1
铝,1
旅行袋,1
旅游时报,1
滤网,8
滤芯,8
绿豆,4
绿萝,4
海螺,8
花螺,8
螺帽,1
绿箩,4
落发,8
落叶,4
落花生,4
姨妈巾,8
老干妈辣酱,4
麻布,1
麻袋,8
麻绳,8
密码锁,1
马肉,4
买菜的包装袋,8
麦子,4
烧卖,4
外卖盒,8
外卖餐盒,8
馒头,4
蔓藤,4
藤蔓,4
漫画,1
漫画书,1
芒果,4
芒果干,4
芒果核,4
貂毛,8
狗毛,8
帽子,1
浴帽,8
泡沫箱属于什么垃圾,1
杨梅,4
发霉食物,4
煤饼,8
煤灰,8
煤渣,8
没用过尿片,8
没用过的纸杯,8
没用过的尿不湿,8
眉笔,8
美瞳,8
门锁,1
柠檬,4
米,4
大米,4
菠萝蜜,4
棉,1
海绵,8
海绵垫,8
海绵纸,8
面,4
面包,4
灭火器,1
灭蚊剂,2
废灭火器,1
玻璃器皿,1
明信片,8
三明治,4
说明书,1
名画,8
名片,1
塑料模型,1
面膜,8
磨刀器,1
磨砂膏,8
摩丝,8
摩易擦,8
魔笔,8
抹布,8
废抹布,8
旧抹布,8
速溶饮料粉末,4
墨粉,8
墨盒,1
默写本,1
泡沫,1
肉沫,4
泡沫板,1
牡蛎壳,8
牡蛎肉,4
吃剩下的牡蛎壳,8
屏幕,1
荧幕,1
电脑屏幕,1
树叶是那种垃圾,4
收纳箱,1
塑料收纳盒,1
奶粉,4
奶盒,1
南瓜,4
南瓜皮,4
南瓜子壳,4
笔囊,8
胶囊,2
墨囊,8
电脑,1
猪脑,4
电脑包,1
闹钟,1
内裤,8
内衣,8
内脏,4
花泥,8
尼龙绳,8
尼龙丝袜,8
尼龙制品,8
油腻的餐巾纸,8
年糕,4
少年报,1
尿布,8
尿垫,8
尿裤,8
镍镉电池,2
牛,4
塑料纽扣,1
农药片,2
圣女果,4
女生内衣,8
女性卫生用品,8
暖瓶,1
保暖瓶,1
呕吐包,8
呕吐物,4
布偶,1
玩偶,1
布玩偶,1
手帕,8
电蚊拍,1
大排,4
鸡排,4
铜牌,1
菠萝派,4
U盘,1
乒乓板,8
乒乓球,1
日抛美瞳,8
灯炮,2
泡面,4
泡馍,4
水培植物,4
电脑配件,1
铝喷雾瓶,1
喷蟑螂瓶,2
杀虫喷雾,2
花盆,8
铝盆,1
盆栽,4
帐篷,1
膨化食品,4
膨化食品包装,8
披萨,4
雨披,8
披萨盒,8
啤酒盖,1
啤酒罐,1
啤酒瓶,1
菜皮,4
草皮,4
漂白粉,8
漂白剂罐,2
票,8
食品,4
饰品,8
药品,2
苹果,4
烂苹果,4
苹果核,4
平底锅,1
平板玻璃,1
平板电脑,1
电瓶,1
破布,1
破碗,8
破瓷品,8
扑克牌,1
猪肉铺,4
葡萄,4
葡萄皮,4
普通塑料袋,8
过期药,2
过期饼干,4
漆桶,2
油漆,2
废油漆,2
其他垃圾桶,1
象棋,8
曲奇,4
